Date,Open,High,Low,Close,Adj Close,Volume
2017-01-10,217.000000,218.000000,214.000000,214.500000,191.595566,3954000
2017-01-11,214.500000,216.000000,213.000000,215.500000,192.488785,3967000
2017-01-12,216.000000,217.500000,215.000000,217.000000,193.828613,2714000
2017-01-13,212.500000,215.000000,212.500000,215.000000,192.042175,3723000
2017-01-16,211.500000,212.500000,210.000000,210.500000,188.022690,4837000
2017-01-17,211.000000,213.500000,210.500000,213.500000,190.702347,3230000
2017-01-18,213.000000,213.500000,211.000000,211.500000,188.915909,4684000
2017-01-19,212.000000,213.000000,211.500000,213.000000,190.255737,3823000
2017-01-20,212.500000,213.000000,211.000000,211.500000,188.915909,3661000
2017-01-23,213.000000,215.000000,212.500000,214.500000,191.595566,3686000
2017-01-24,212.500000,215.000000,212.500000,213.500000,190.702347,5771000
2017-02-02,204.500000,207.500000,203.000000,204.500000,182.663376,17460000
2017-02-03,205.000000,209.000000,205.000000,207.000000,184.896423,7663000
2017-02-06,208.000000,214.000000,206.000000,212.000000,189.362518,9082000
2017-02-07,212.000000,218.000000,210.000000,218.000000,194.721817,8804000
2017-02-08,214.000000,217.000000,213.000000,213.500000,190.702347,8490000
2017-02-09,215.000000,215.500000,213.500000,215.000000,192.042175,4841000
2017-02-10,217.000000,217.500000,215.000000,215.500000,192.488785,6355000
2017-02-13,217.000000,218.000000,215.500000,217.000000,193.828613,5549000
2017-02-14,215.000000,217.500000,215.000000,217.000000,193.828613,4604000
2017-02-15,217.000000,218.000000,215.500000,216.500000,193.382019,5806000
2017-02-16,218.000000,218.000000,216.000000,217.000000,193.828613,5237000
